TrialNumber,Ppn,DoorClicked,Won,TotalAmount,PAscore,NAscore,Time_msec
1,160,3,-0.71,2.29,0.0134407027818448,0.190131771595901,500148
2,160,2,3.06,5.35,0.408755490483163,0.131566617862372,508743
3,160,2,3.42,8.77,0.782108345534407,0.138887262079063,521001
4,160,1,0.92,9.69,0.694260614934114,0.0803221083455348,533692
5,160,1,-2.5,7.19,0.0280819912152269,0.219414348462665,543212
6,160,3,-3.94,3.25,0.0134407027818448,0.980761346998536,552704
7,160,2,0.78,4.03,0.621054172767203,0.402430453879942,566306
8,160,0,3.81,7.84,0.533206442166911,0.0949633967789168,577957
9,160,2,-3.37,4.47,0.0280819912152269,0.175490483162519,587341
10,160,0,-3.81,0.66,0.0207613469985359,0.958799414348463,595700
11,160,1,3.32,3.98,0.66497803806735,0.578125915080527,612728
12,160,2,3.65,7.63,0.906559297218155,0.373147877013177,623825
13,160,2,-3.1,4.53,0.276983894582723,0.775783308931186,632200
14,160,1,-3.37,1.16,0.167174231332357,0.775783308931186,639702
15,160,2,1.13,2.29,0.577130307467057,0.629370424597365,649586
16,160,0,-3.82,-1.53,0.0280819912152269,0.995402635431918,658529
17,160,2,-3.19,-4.72,0.0280819912152269,0.980761346998536,670213
18,160,3,-0.77,-5.49,0.0280819912152269,0.966120058565154,677494
19,160,0,3.82,-1.67,0.306266471449488,0.951478770131772,685845
20,160,1,-1.23,-2.9,0.0427232796486091,0.973440702781845,693337
21,160,0,-3.45,-6.35,0.0207613469985359,0.973440702781845,700141
22,160,2,3.9,-2.45,0.46,0.980761346998536,707781
23,160,2,-0.84,-3.29,0.0134407027818448,0.988081991215227,715140
24,160,1,-0.62,-3.91,0.0134407027818448,0.973440702781845,724261
25,160,3,0.74,-3.17,0.32090775988287,0.93683748169839,732802
26,160,2,3.77,0.599999999999999,0.73086383601757,0.746500732064422,742299
27,160,3,3.47,4.07,0.745505124450952,0.680614934114202,753464
28,160,2,-3.24,0.829999999999999,0.203777452415813,0.892913616398243,760937
29,160,3,3.21,4.04,0.811390922401171,0.600087847730601,770068
30,160,1,1.07,5.11,0.818711566617862,0.395109809663251,779365
31,160,3,-0.84,4.27,0.269663250366032,0.885592972181552,787775
32,160,1,1.47,5.74,0.73086383601757,0.600087847730601,796604
33,160,2,4.26,10,0.811390922401171,0.358506588579795,813773
34,160,1,-3.35,6.65,0.25502196193265,0.556163982430454,825441
35,160,0,-0.43,6.22,0.167174231332357,0.578125915080527,832951
36,160,3,1.25,7.47,0.73086383601757,0.504919472913617,840174
37,160,3,1.51,8.98,0.73086383601757,0.585446559297218,846438
38,160,2,3.76,12.74,0.906559297218155,0.168169838945828,856704
39,160,2,0.55,13.29,0.840673499267936,0.197452415812592,864362
40,160,3,3.35,16.64,0.935841874084919,0.138887262079063,870660
41,160,2,-1.05,15.59,0.496603221083455,0.175490483162519,878280
42,160,3,0.92,16.51,0.606412884333821,0.160849194729136,884211
43,160,3,-3.09,13.42,0.262342606149341,0.343865300146413,893700
44,160,0,-3.97,9.45,0.0427232796486091,0.951478770131772,899519
45,160,3,1.05,10.5,0.423396778916545,0.73185944363104,906038
46,160,2,3.02,13.52,0.628374816983895,0.592767203513909,913636
47,160,2,-3.83,9.69,0.225739385065886,0.812386530014642,919907
48,160,3,-1.19,8.5,0.11592972181552,0.841669106881406,926252
49,160,3,1.47,9.97,0.416076134699854,0.783103953147877,932085
50,160,3,0.94,10.91,0.540527086383602,0.783103953147877,938333
51,160,3,-3.89,7.02,0.0500439238653001,0.958799414348463,943984
52,160,2,3.53,10.55,0.716222547584187,0.578125915080527,951001
53,160,2,3.62,14.17,0.80407027818448,0.468316251830161,960614
54,160,3,3.78,17.95,0.796749633967789,0.299941434846267,968003
55,160,3,-3.4,14.55,0.364831625183016,0.482957540263543,974155
56,160,3,-3.69,10.86,0.196456808199122,0.746500732064422,980515
57,160,3,-0.82,10.04,0.401434846266471,0.73185944363104,1005420
