"delta1","delta2","Psi11","Psi12","Psi21","Psi22","Theta1","Theta2","Participant","SSE","AIC","BIC","sigma2_est"
0.0383682947533807,0.840078898974846,0.034304237208081,0.00866823685048144,0.00751717247915658,-0.054083676756245,0.520382639081027,-0.260741083795999,"57",12.0637850840587,-363.118223707229,-329.85553797792,0.0855587594614094
0.21554473149733,0.92431678667344,0.0222866482152954,0.0241984686284555,0.0135457452863641,-0.050020194087566,0.403809887130376,-0.318982550555413,"58",6.88671185930468,-448.331591092896,-415.068905363587,0.048841928080175
0.163897810754773,0.427189319783787,0.0581805418466665,0.00955248851049224,-0.0596218764203275,-0.0117928096250244,0.484566250692563,0.369743384000525,"59",7.18892962332012,-441.803411018901,-408.540725289592,0.0509853164774477
0.404780958506073,0.546094593679319,0.111480532156511,0.00553695604648875,-0.106945356995208,-0.00841828959715315,0.0707887085795,0.10479707544695,"60",9.90832889252451,-393.036731899293,-359.774046169983,0.0702718361171951
0.156547524717054,0.40401375372269,0.0751461878583687,0.00502059637025021,-0.079369305298124,-0.0108558991978974,0.201682280002983,0.0468469202405419,"61",12.6472361356593,-355.939156160324,-322.676470431014,0.0896967101819809
0.291487098342521,0.411099205647172,0.00927264596147262,0.0435675078015611,-0.0341920868678481,-0.0211393325875014,-0.0296642539321838,0.426902238333661,"62",8.03965074531443,-424.803221491939,-391.54053576263,0.0570187996121591
0.067113496863917,0.39737739158614,0.0674320177629481,0.0053371317034678,-0.0502832589353453,-0.00976857264320695,0.777817438307754,0.533404607013516,"63",19.2097137529457,-292.406595657734,-259.143909928424,0.136239104630821
0.15321682286684,0.0756524905633877,0.0132116398982303,0.0266416705996219,-0.0132921728836363,0.00193955527086864,-0.187641818794672,0.903809944247184,"64",20.3398132608038,-283.717647295222,-250.454961565913,0.144253994757474
0.373277027955413,0.477730280821212,0.10011348644947,0.00121801160157857,-0.102497064210612,-0.00677248756863045,0.0835162679688124,0.102918548615251,"65",12.4501815766123,-358.326087663409,-325.0634019341,0.088299160117818
0.104784875431116,0.907008600852946,0.0344873725722044,0.00823821221486845,0.0185815228602276,-0.0426849584474437,0.610196793359637,-0.210546616033403,"66",7.33971612449347,-438.648213823942,-405.385528094633,0.0520547242871878
0.425254625914361,0.488977010168299,0.104316769489415,0.00650324009617461,-0.118197706820554,-0.00473687545222588,0.0474555939854538,0.0073453144117462,"67",12.2900790133022,-360.293401568894,-327.030715839585,0.0871636809454056
0.569040268071724,0.546404710395704,0.118983066079163,0.00604828578665404,-0.114139332906555,0.000753942747302662,-0.0706417226598825,0.110122125135207,"68",34.7970702927662,-202.100793339086,-168.838107609777,0.24678773257281
0.122110100352919,0.612258876898426,0.05155102794169,0.00501838026853622,-0.0256741910870727,-0.0247595307770151,0.531973936014557,0.0452309654996552,"69",6.22096700958252,-463.785184076878,-430.522498347569,0.0441203334012944
0.121012033043836,0.852244700325934,0.0456483307781249,0.00600787628998614,-0.00430702574190858,-0.0294389567840587,0.681001461112674,-0.181529826894095,"70",6.08345855766723,-467.182686021112,-433.920000291803,0.0431450961536683
0.14059279878936,0.305792042480803,0.0652923687816782,0.00562895389473614,-0.113897966727621,-0.00947460940671134,0.211447769926505,0.1832200965887,"71",10.7624679976098,-380.467974940082,-347.205289210773,0.0763295602667365
0.186983267732345,0.409417343129625,0.0363035002496802,0.00592730872597206,-0.0347878557582873,-0.012698282336431,0.567935251798567,0.370781692929237,"72",5.91141297599482,-471.543336637229,-438.28065090792,0.0419249147233675
0.119830678625519,0.723662408832811,0.0514732593045679,0.004725160282817,-0.020002805584288,-0.0364442082199975,0.749864584432294,-0.0816448993115463,"73",8.87228830245489,-409.824061884824,-376.561376155515,0.0629240305138645
0.183362089853286,0.660704131104152,0.0324483167789501,0.0144687422215899,-0.00392449973191697,-0.01807860356302,0.486679481175921,-0.0839897314162286,"74",4.41126905217627,-516.037152089366,-482.774466360057,0.0312855961147253
0.276785755785274,0.359063978684614,0.0855641730084839,0.0103100654380965,-0.118801691469254,-0.00837806938748742,0.286911304059807,0.177532662858063,"75",19.3499926846071,-291.30064887291,-258.037963143601,0.137233990670972
0.169438226387849,0.660094785453943,0.0298128630901312,0.00930456312717295,-0.0122858581676952,-0.00601017088114693,0.269127147173629,0.220361072846829,"76",12.2300294600239,-361.037896672244,-327.775210942935,0.0867377975888223
0.395374251452495,0.35820881398439,0.0961814511873118,0.000605689489760594,-0.0499214090295301,-0.00204126223522877,0.0519141607868334,0.0151794483663536,"77",10.1609162805499,-389.210448445669,-355.94776271636,0.072063236032269
0.132859394622364,0.299197997568629,0.0463097898680712,0.00797464942423335,-0.0305755181800741,-0.00166507767985384,0.324345856512199,0.62127363240341,"78",6.67631349942904,-453.047812660613,-419.785126931304,0.0473497411307024
0.126034502342075,0.428355375609775,0.0674198619345226,0.00647344102131467,-0.0516544452187641,-0.0144834750298996,0.616841907608514,0.36045453732959,"79",16.7094004391937,-313.602177004805,-280.339491275496,0.118506386093572
0.158181557365078,0.840860923907639,-0.00124504434820339,0.000189267323089091,-0.000330285231131021,0.000113523517951059,0.685270047257201,-0.696594839809222,"80",0.303868894531449,-922.685997833912,-889.423312104603,0.00215509854277623
0.357370625831625,0.3954904707507,0.0764675099083116,0.0108287125795685,-0.0697622742615066,-0.00707373143286992,0.124977575995499,0.361111485588251,"81",7.42771496727348,-436.836662126757,-403.573976397448,0.052678829555131
